Institution Name,Main Office,Branch Name,Branch Number,Established Date,Acquired Date,Street Address,City,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits,Branch Age,Year_Since_Acquisition,Total_Deposits,Growth_%,CAGR
JPMorgan Chase Bank,0,Stuyvesant Town Branch,530,1937-06-30,1992-06-20,255-257 First Avenue,New York City,New York,NY,10003,40.73198,-73.98219,174708.0,190866.0,206476.0,229780.0,256334.0,264379.0,294083,89,34,1616626.0,68.32829635735055,9.0668711869907
JPMorgan Chase Bank,0,Madison Avenue & 72nd Street Branch,541,1932-01-03,1992-06-20,35 East 72nd Street,New York City,New York,NY,10021,40.77162,-73.96504,526273.0,708192.0,723552.0,737114.0,746575.0,763661.0,815233,94,34,5020600.0,54.90686392803735,7.56684820417477
JPMorgan Chase Bank,0,Madison Ave Abd 48th St Branch,544,1960-11-04,1992-06-20,401 Madison Avenue,New York City,New York,NY,10017,40.75598,-73.97686,45099076.0,62630984.0,81960379.0,85177807.0,98322162.0,84569038.0,69044786,66,34,526804232.0,53.09578848134272,7.356218929675817
JPMorgan Chase Bank,0,Murray Hill Branch,547,1964-11-16,1992-06-20,450 Third Avenue,New York City,New York,NY,10016,40.74387,-73.97955,221419.0,313100.0,340458.0,336345.0,319832.0,349772.0,344585,62,34,2225511.0,55.62575930701521,7.649887566209634
JPMorgan Chase Bank,0,Glen Oaks Branch,555,1950-07-14,1992-06-20,256-21 Union Turnpike,Glen Oaks,Queens,NY,11004,40.74549,-73.71507,102893.0,110466.0,115407.0,128875.0,143291.0,161679.0,177306,76,34,939917.0,72.32076040158223,9.493818179161174
JPMorgan Chase Bank,0,Holliswood Branch,556,1954-05-24,1992-06-20,205-19 Hillside Avenue,Hollis,Queens,NY,11423,40.72077,-73.76014,135263.0,135889.0,135370.0,143989.0,149796.0,167186.0,181550,72,34,1049043.0,34.220001035020665,5.027462515897541
JPMorgan Chase Bank,0,Kew Gardens Branch,559,1950-02-24,1992-06-20,118-30 Queens Boulevard,Forest Hills,Queens,NY,11375,40.71475,-73.83218,116562.0,100347.0,108380.0,130912.0,140822.0,159394.0,170186,76,34,926603.0,46.00470136064927,6.511002751995343
JPMorgan Chase Bank,0,Sunnyside North Branch,561,1946-01-11,1992-06-20,47-11 Queens Boulevard,Sunnyside,Queens,NY,11104,40.74315,-73.91708,172783.0,168368.0,176517.0,189087.0,200097.0,208223.0,218572,80,34,1333647.0,26.50087103476615,3.9957487209247855
JPMorgan Chase Bank,0,Ridgewood Branch,563,1921-08-31,1992-06-20,60-67 Myrtle Avenue,Ridgewood,Queens,NY,11385,40.70068,-73.89588,159586.0,161695.0,168912.0,193408.0,194767.0,210515.0,239461,105,34,1328344.0,50.0513829533919,6.997426888340907
JPMorgan Chase Bank,0,Scarsdale Central Park Branch,568,1967-09-01,1992-06-20,"660 Central Park Avenue, #662",Scarsdale,Westchester,NY,10583,40.99988,-73.8153,124751.0,113163.0,125218.0,134956.0,136289.0,137138.0,203636,59,34,975151.0,63.2339620524084,8.509664412349437
